id,code,logo_url,name,summary,is_active
1,WZK,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/wiZink.png,WiZink,"O WiZink, que opera em Portugal desde novembro de 2016, é um banco espanhol especializado em cartões de crédito e soluções de poupança simples para ir ao encontro das necessidades do dia-a-dia dos seus clientes. Atualmente, só em território nacional, o WiZink conta com mais de 700.000 clientes.",TRUE
2,UNB,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/unibanco.png,Unibanco,"O Unibanco é uma empresa pertencente à entidade financeira Unicre. Atualmente, os valores do Unibanco estão patentes na assinatura “pelo sim, pelo sim”, que evoca a proximidade, utilidade e disponibilidade dos serviços oferecidos, assim como a necessidade de utilizar um cartão de crédito Unibanco para resolver os imprevistos do dia a dia. ",TRUE
3,BCB,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/bancoBest.png,Banco Best,"O Banco Best é uma instituição financeira, fundada no ano de 2001, que pertence ao Grupo Novo Banco.",FALSE
4,MEO,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/meo.png,MEO,"A MEO - Serviços de Comunicações e Multimédia S.A. – marca que integra o grupo PT - surgiu em 2007 através do lançamento de um novo formato de pacotes de telecomunicações: o triple play, que engloba os serviços de Televisão, Internet e Voz.",TRUE
5,VDF,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/vodafone.png,Vodafone,"O Grupo Vodafone foi fundado no Reino Unido, em 1985, fruto de uma joint venture entre a empresa Racal Strategic Radio Ltd e a Millicom. Originalmente sob o nome de Racal-Millicom, o nome Vodafone surge como junção das palavras “VOice-DAta-FONE” (telecomunicações de voz e de dados).",TRUE
6,NOS,,NOS,"A operadora NOS nasceu em 2013 sob o nome de ZON/Optimus, resultado de uma fusão entre duas das maiores empresas de pacotes de telecomunicações do país: a ZON Multimédia e a Optimus Telecomunicações.",TRUE
7,NOW,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/nowo.png,NOWO,"A NOWO surgiu com uma forte aposta numa nova abordagem para romper com o oligopólio da MEO, da NOS e da Vodafone no mercado português das telecomunicações.",TRUE
8,ZON,,ZON,"A ZON Multimédia é um grupo empresarial que integra o principal índice bolsista nacional, o PSI-20. É lider no mercado de pay TV em Portugal e é o segundo maior Internet provider.",FALSE
9,STD,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/bancoSantanderTotta.png,Santander,"Tendo entrado em Portugal em 1988, o Santander é o segundo maior banco privado no país e um dos maiores da União Europeia, estando localizado entre os 10 maiores grupos financeiros do Mundo.",TRUE
10,CGD,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/caixaGeralDepositos.png,Caixa Geral de Depósitos,"A Caixa Geral de Depósitos é uma referência no mercado financeiro português e internacional, uma vez que marca a sua presença pela Europa, América e Ásia.",TRUE
11,BKI,https://www.comparaja.pt/s3/portugal/comparaja.pt/production/pt/images/providerLogos/bankinter.png,Bankinter,O Bankinter é reconhecido no mercado espanhol como uma das entidades financeiras mais solventes e rentáveis. É uma referência na área da inovação e na qualidade de serviço que presta.,TRUE